exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
AwAIlSo,0,left_shoulder_angle,137.76,"(0.598,0.351)",start
AwAIlSo,0,torso_angle,4.526052619958693,,start
AwAIlSo,3,left_shoulder_angle,11.62,"(0.616,0.391)",quarter
AwAIlSo,3,torso_angle,7.935237687545494,,quarter
AwAIlSo,6,left_shoulder_angle,11.67,"(0.627,0.406)",peak
AwAIlSo,6,torso_angle,11.143755267494225,,peak
AwAIlSo,9,left_shoulder_angle,20.88,"(0.622,0.400)",return
AwAIlSo,9,torso_angle,11.247231929515355,,return
AwAIlSo,11,left_shoulder_angle,143.98,"(0.604,0.391)",end
AwAIlSo,11,torso_angle,8.85788205006581,,end
