exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
HZgQPxh,0,left_hip_angle,176.1,"(0.278,0.557)",start
HZgQPxh,0,torso_angle,2.9753387647702336,,start
HZgQPxh,0,right_hip_angle,170.0,"(0.206,0.550)",start
HZgQPxh,3,left_hip_angle,170.84,"(0.281,0.547)",quarter
HZgQPxh,3,torso_angle,3.572688653511247,,quarter
HZgQPxh,3,right_hip_angle,173.24,"(0.207,0.550)",quarter
HZgQPxh,6,left_hip_angle,131.7,"(0.320,0.628)",peak
HZgQPxh,6,torso_angle,5.110503956427077,,peak
HZgQPxh,6,right_hip_angle,143.43,"(0.362,0.647)",peak
HZgQPxh,9,left_hip_angle,159.17,"(0.297,0.571)",return
HZgQPxh,9,torso_angle,2.963329514621998,,return
HZgQPxh,9,right_hip_angle,178.25,"(0.249,0.575)",return
HZgQPxh,11,left_hip_angle,179.13,"(0.289,0.558)",end
HZgQPxh,11,torso_angle,2.665607419596433,,end
HZgQPxh,11,right_hip_angle,173.01,"(0.218,0.554)",end
