exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
Um8xUAc,0,left_shoulder_angle,77.73,"(0.573,0.341)",start
Um8xUAc,0,right_shoulder_angle,31.96,"(0.444,0.327)",start
Um8xUAc,0,left_elbow_angle,179.49,"(0.610,0.456)",start
Um8xUAc,0,right_elbow_angle,148.85,"(0.408,0.447)",start
Um8xUAc,3,left_shoulder_angle,82.59,"(0.564,0.342)",quarter
Um8xUAc,3,right_shoulder_angle,5.22,"(0.471,0.306)",quarter
Um8xUAc,3,left_elbow_angle,131.6,"(0.589,0.405)",quarter
Um8xUAc,3,right_elbow_angle,105.36,"(0.411,0.361)",quarter
Um8xUAc,6,left_shoulder_angle,83.51,"(0.556,0.353)",peak
Um8xUAc,6,right_shoulder_angle,12.16,"(0.470,0.297)",peak
Um8xUAc,6,left_elbow_angle,92.54,"(0.583,0.419)",peak
Um8xUAc,6,right_elbow_angle,61.48,"(0.398,0.375)",peak
Um8xUAc,9,left_shoulder_angle,90.95,"(0.557,0.347)",return
Um8xUAc,9,right_shoulder_angle,3.82,"(0.479,0.297)",return
Um8xUAc,9,left_elbow_angle,141.38,"(0.580,0.389)",return
Um8xUAc,9,right_elbow_angle,76.96,"(0.399,0.346)",return
Um8xUAc,11,left_shoulder_angle,77.48,"(0.567,0.348)",end
Um8xUAc,11,right_shoulder_angle,21.36,"(0.473,0.306)",end
Um8xUAc,11,left_elbow_angle,176.12,"(0.593,0.431)",end
Um8xUAc,11,right_elbow_angle,129.38,"(0.404,0.420)",end
