exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
1RIkUHT,0,right_shoulder_angle,56.36,"(0.460,0.457)",start
1RIkUHT,0,right_elbow_angle,151.05,"(0.566,0.516)",start
1RIkUHT,3,left_shoulder_angle,132.74,"(0.537,0.355)",quarter
1RIkUHT,3,right_shoulder_angle,115.83,"(0.537,0.379)",quarter
1RIkUHT,3,left_elbow_angle,161.32,"(0.432,0.271)",quarter
1RIkUHT,3,right_elbow_angle,112.88,"(0.550,0.374)",quarter
1RIkUHT,6,left_shoulder_angle,82.35,"(0.573,0.241)",peak
1RIkUHT,6,right_shoulder_angle,89.83,"(0.504,0.230)",peak
1RIkUHT,6,left_elbow_angle,171.39,"(0.527,0.247)",peak
1RIkUHT,6,right_elbow_angle,169.66,"(0.376,0.240)",peak
1RIkUHT,9,left_shoulder_angle,55.37,"(0.595,0.223)",return
1RIkUHT,9,right_shoulder_angle,85.42,"(0.503,0.218)",return
1RIkUHT,9,left_elbow_angle,9.89,"(0.643,0.261)",return
1RIkUHT,9,right_elbow_angle,169.45,"(0.371,0.238)",return
1RIkUHT,11,left_shoulder_angle,80.65,"(0.599,0.328)",end
1RIkUHT,11,right_shoulder_angle,53.09,"(0.496,0.324)",end
1RIkUHT,11,left_elbow_angle,85.54,"(0.652,0.342)",end
1RIkUHT,11,right_elbow_angle,21.6,"(0.450,0.362)",end
