exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
kKYTkjJ,0,left_hip_angle,114.09,"(0.463,0.418)",start
kKYTkjJ,0,left_knee_angle,61.96,"(0.523,0.597)",start
kKYTkjJ,0,right_hip_angle,174.03,"(0.464,0.405)",start
kKYTkjJ,0,right_knee_angle,144.2,"(0.627,0.447)",start
kKYTkjJ,3,left_hip_angle,93.94,"(0.451,0.429)",quarter
kKYTkjJ,3,left_knee_angle,55.78,"(0.439,0.597)",quarter
kKYTkjJ,3,right_hip_angle,153.31,"(0.442,0.443)",quarter
kKYTkjJ,3,right_knee_angle,121.63,"(0.546,0.505)",quarter
kKYTkjJ,6,left_hip_angle,84.78,"(0.433,0.454)",peak
kKYTkjJ,6,left_knee_angle,57.54,"(0.413,0.617)",peak
kKYTkjJ,6,right_hip_angle,165.82,"(0.430,0.440)",peak
kKYTkjJ,6,right_knee_angle,145.71,"(0.574,0.471)",peak
kKYTkjJ,9,left_hip_angle,85.62,"(0.439,0.447)",return
kKYTkjJ,9,left_knee_angle,58.51,"(0.421,0.614)",return
kKYTkjJ,9,right_hip_angle,162.36,"(0.436,0.434)",return
kKYTkjJ,9,right_knee_angle,139.02,"(0.565,0.480)",return
kKYTkjJ,11,left_hip_angle,103.19,"(0.444,0.435)",end
kKYTkjJ,11,left_knee_angle,64.98,"(0.473,0.612)",end
kKYTkjJ,11,right_hip_angle,161.04,"(0.451,0.405)",end
kKYTkjJ,11,right_knee_angle,135.19,"(0.575,0.465)",end
