exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
afv0ZAS,0,left_shoulder_angle,27.31,"(0.467,0.513)",start
afv0ZAS,0,right_shoulder_angle,27.77,"(0.400,0.479)",start
afv0ZAS,0,left_elbow_angle,2.36,"(0.459,0.564)",start
afv0ZAS,0,right_elbow_angle,136.69,"(0.355,0.512)",start
afv0ZAS,3,left_shoulder_angle,48.37,"(0.485,0.510)",quarter
afv0ZAS,3,right_shoulder_angle,48.48,"(0.405,0.461)",quarter
afv0ZAS,3,left_elbow_angle,16.06,"(0.494,0.568)",quarter
afv0ZAS,3,right_elbow_angle,88.58,"(0.355,0.475)",quarter
afv0ZAS,6,left_shoulder_angle,46.27,"(0.488,0.494)",peak
afv0ZAS,6,right_shoulder_angle,34.97,"(0.411,0.454)",peak
afv0ZAS,6,left_elbow_angle,23.57,"(0.491,0.509)",peak
afv0ZAS,6,right_elbow_angle,102.52,"(0.364,0.479)",peak
afv0ZAS,9,left_shoulder_angle,24.67,"(0.493,0.496)",return
afv0ZAS,9,right_shoulder_angle,39.8,"(0.410,0.452)",return
afv0ZAS,9,left_elbow_angle,1.45,"(0.484,0.530)",return
afv0ZAS,9,right_elbow_angle,100.27,"(0.363,0.473)",return
afv0ZAS,11,left_shoulder_angle,37.8,"(0.491,0.498)",end
afv0ZAS,11,right_shoulder_angle,41.74,"(0.409,0.457)",end
afv0ZAS,11,left_elbow_angle,4.53,"(0.490,0.559)",end
afv0ZAS,11,right_elbow_angle,116.89,"(0.353,0.479)",end
