exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
hTLtkXL,0,left_shoulder_angle,47.2,"(0.604,0.388)",start
hTLtkXL,0,right_shoulder_angle,50.39,"(0.483,0.399)",start
hTLtkXL,0,left_elbow_angle,23.09,"(0.659,0.463)",start
hTLtkXL,0,right_elbow_angle,47.64,"(0.414,0.463)",start
hTLtkXL,3,left_shoulder_angle,56.78,"(0.610,0.389)",quarter
hTLtkXL,3,right_shoulder_angle,48.13,"(0.479,0.394)",quarter
hTLtkXL,3,left_elbow_angle,31.34,"(0.679,0.457)",quarter
hTLtkXL,3,right_elbow_angle,45.9,"(0.411,0.463)",quarter
hTLtkXL,6,left_shoulder_angle,178.27,"(0.605,0.367)",peak
hTLtkXL,6,right_shoulder_angle,168.81,"(0.492,0.358)",peak
hTLtkXL,6,left_elbow_angle,88.6,"(0.629,0.244)",peak
hTLtkXL,6,right_elbow_angle,102.87,"(0.471,0.255)",peak
hTLtkXL,9,left_shoulder_angle,66.4,"(0.613,0.369)",return
hTLtkXL,9,right_shoulder_angle,43.38,"(0.483,0.366)",return
hTLtkXL,9,left_elbow_angle,40.83,"(0.671,0.407)",return
hTLtkXL,9,right_elbow_angle,38.6,"(0.432,0.423)",return
hTLtkXL,11,left_shoulder_angle,52.0,"(0.615,0.378)",end
hTLtkXL,11,right_shoulder_angle,44.33,"(0.479,0.384)",end
hTLtkXL,11,left_elbow_angle,41.65,"(0.682,0.453)",end
hTLtkXL,11,right_elbow_angle,42.73,"(0.413,0.459)",end
